Population-name,Population,Transect,Individual,Elevation,Treatment,thermal-limit,CT-value,TL,BL,STAGE,Year,Days,Month,HabTemp,sdhab
Jubones,200m,Transect1,JUBHTX001,P1,28C,Ctmax,39.3,19,5,25,Y2014,8,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX002,P1,28C,Ctmax,38.8,17,6,26,Y2014,8,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX003,P1,28C,Ctmax,39.9,17,6,26,Y2014,8,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX005,P1,28C,Ctmax,39.7,21,4.5,25,Y2014,8,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX006,P1,28C,Ctmax,39.8,19,5.5,25,Y2014,8,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX007,P1,28C,Ctmax,39.3,18,4.5,25,Y2014,8,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX008,P1,28C,Ctmax,40.2,17,6.5,28,Y2014,8,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX009,P1,28C,Ctmax,38.9,16,4,25,Y2014,9,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX010,P1,28C,Ctmax,38.6,14,4,25,Y2014,9,April,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX011,P1,28C,Ctmax,39.9,15,5,26,Y2014,9,January,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX013,P1,28C,Ctmax,40.3,15,4,25,Y2015,9,January,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX014,P1,28C,Ctmax,40.1,13,4.5,25,Y2015,9,January,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX018,P1,28C,Ctmax,40,18,5,26,Y2015,9,January,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX019,P1,28C,Ctmax,39.9,19,6,30,Y2015,9,January,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX020,P1,28C,Ctmax,39.7,18,6,26,Y2015,9,January,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX023,P1,28C,Ctmax,40.3,17,5,26,Y2015,9,January,23.49904,0.50666972
Jubones,200m,Transect1,JUBHTX025,P1,28C,Ctmax,40.5,17,4.5,25,Y2015,9,January,23.49904,0.50666972
